"","submitted_name","ScientificName","score","data_source_title"
"121","Cuscuta reflexa","Cuscuta reflexa",0.988,"Integrated Taxonomic Information SystemITIS"
"122","Cutandia memphitica","Cutandia memphitica",0.988,"Integrated Taxonomic Information SystemITIS"
"123","Cyclachaena xanthiifolia","Cyclachaena xanthiifolia",0.988,"Integrated Taxonomic Information SystemITIS"
"124","Cyclanthera pedata","Cyclanthera pedata",0.988,"Integrated Taxonomic Information SystemITIS"
"125","Cycloloma atriplicifolium","Cycloloma atriplicifolium",0.988,"Integrated Taxonomic Information SystemITIS"
"126","Cymbopogon citratus","Cymbopogon citratus",0.988,"Integrated Taxonomic Information SystemITIS"
"127","Cynodon dactylon","Cynodon dactylon",0.988,"Integrated Taxonomic Information SystemITIS"
"128","Cynoglossum glochidiatum","Cynoglossum glochidiatum",0.988,"Integrated Taxonomic Information SystemITIS"
"129","Cynosurus echinatus","Cynosurus echinatus",0.988,"Integrated Taxonomic Information SystemITIS"
"130","Cyperus difformis","Cyperus difformis",0.988,"Integrated Taxonomic Information SystemITIS"
"131","Cyperus imbricatus","Cyperus imbricatus",0.988,"Integrated Taxonomic Information SystemITIS"
"132","Cyperus iria","Cyperus iria",0.988,"Integrated Taxonomic Information SystemITIS"
"133","Cyperus microiria","Cyperus microiria",0.988,"Integrated Taxonomic Information SystemITIS"
"134","Cyperus papyrus","Cyperus papyrus",0.988,"Integrated Taxonomic Information SystemITIS"
"135","Cyperus strigosus","Cyperus strigosus",0.988,"Integrated Taxonomic Information SystemITIS"
"136","Cyprinus carpio","Cyprinus carpio",0.988,"Integrated Taxonomic Information SystemITIS"
"137","Danthonia spicata","Danthonia spicata",0.988,"Integrated Taxonomic Information SystemITIS"
"138","Daphnia ambigua","Daphnia ambigua",0.988,"Integrated Taxonomic Information SystemITIS"
"139","Daphnia lumholtzi","Daphnia lumholtzi",0.988,"Integrated Taxonomic Information SystemITIS"
"140","Dasiphora fruticosa","Dasiphora fruticosa",0.988,"Integrated Taxonomic Information SystemITIS"
"141","Datura metel","Datura metel",0.988,"Integrated Taxonomic Information SystemITIS"
"142","Daucus carota","Daucus carota",0.988,"Integrated Taxonomic Information SystemITIS"
"143","Dendostrea frons","Dendostrea frons",0.988,"Integrated Taxonomic Information SystemITIS"
"144","Dendrobaena hortensis","Dendrobaena hortensis",0.988,"Integrated Taxonomic Information SystemITIS"
"145","Dennstaedtia punctilobula","Dennstaedtia punctilobula",0.988,"Integrated Taxonomic Information SystemITIS"
"146","Deschampsia cespitosa","Deschampsia cespitosa",0.988,"Integrated Taxonomic Information SystemITIS"
"147","Dichanthelium acuminatum","Dichanthelium acuminatum",0.988,"Integrated Taxonomic Information SystemITIS"
"148","Digitalis grandiflora","Digitalis grandiflora",0.988,"Integrated Taxonomic Information SystemITIS"
"149","Digitaria debilis","Digitaria debilis",0.988,"Integrated Taxonomic Information SystemITIS"
"150","Digitaria longiflora","Digitaria longiflora",0.988,"Integrated Taxonomic Information SystemITIS"
"151","Dioscorea bulbifera","Dioscorea bulbifera",0.988,"Integrated Taxonomic Information SystemITIS"
"152","Draba verna","Draba verna",0.988,"Integrated Taxonomic Information SystemITIS"
"153","Dracopis amplexicaulis","Dracopis amplexicaulis",0.988,"Integrated Taxonomic Information SystemITIS"
"154","Dreissena rostriformis bugensis","Dreissena rostriformis bugensis",0.999,"Integrated Taxonomic Information SystemITIS"
"155","Dulichium arundinaceum","Dulichium arundinaceum",0.988,"Integrated Taxonomic Information SystemITIS"
"156","Dysphania botrys","Dysphania botrys",0.988,"Integrated Taxonomic Information SystemITIS"
"157","Echinochloa colona","Echinochloa colona",0.988,"Integrated Taxonomic Information SystemITIS"
"158","Echinochloa crus-pavonis","Echinochloa crus-pavonis",0.988,"Integrated Taxonomic Information SystemITIS"
"159","Echinochloa microstachya","Echinochloa microstachya",0.988,"Integrated Taxonomic Information SystemITIS"
"160","Echinops bannaticus","Echinops bannaticus",0.988,"Integrated Taxonomic Information SystemITIS"
"161","Echinops sphaerocephalus","Echinops sphaerocephalus",0.988,"Integrated Taxonomic Information SystemITIS"
"162","Eichhornia azurea","Eichhornia azurea",0.988,"Integrated Taxonomic Information SystemITIS"
"163","Elodea nuttallii","Elodea nuttallii",0.988,"Integrated Taxonomic Information SystemITIS"
"164","Elymus repens","Elymus repens",0.988,"Integrated Taxonomic Information SystemITIS"
"165","Enchelycore anatina","Enchelycore anatina",0.988,"Integrated Taxonomic Information SystemITIS"
"166","Epilobium glandulosum","Epilobium glandulosum",0.988,"Integrated Taxonomic Information SystemITIS"
"167","Equisetum palustre","Equisetum palustre",0.988,"Integrated Taxonomic Information SystemITIS"
"168","Eragrostis caroliniana","Eragrostis caroliniana",0.988,"Integrated Taxonomic Information SystemITIS"
"169","Eragrostis ciliaris","Eragrostis ciliaris",0.988,"Integrated Taxonomic Information SystemITIS"
"170","Eragrostis curvula","Eragrostis curvula",0.988,"Integrated Taxonomic Information SystemITIS"
"171","Eragrostis flaccida","Eragrostis flaccida",0.988,"Integrated Taxonomic Information SystemITIS"
"172","Eragrostis japonica","Eragrostis japonica",0.988,"Integrated Taxonomic Information SystemITIS"
"173","Eragrostis unioloides","Eragrostis unioloides",0.988,"Integrated Taxonomic Information SystemITIS"
"174","Erigeron annuus","Erigeron annuus",0.988,"Integrated Taxonomic Information SystemITIS"
"175","Erigeron ramosus","Erigeron ramosus",0.988,"Integrated Taxonomic Information SystemITIS"
"176","Eriobotrya japonica","Eriobotrya japonica",0.988,"Integrated Taxonomic Information SystemITIS"
"177","Eriocheir sinensis","Eriocheir sinensis",0.988,"Integrated Taxonomic Information SystemITIS"
"178","Erophila verna","Erophila verna",0.988,"Integrated Taxonomic Information SystemITIS"
"179","Euglandina rosea","Euglandina rosea",0.988,"Integrated Taxonomic Information SystemITIS"
"180","Euphorbia carpatica","Euphorbia carpatica",0.988,"Integrated Taxonomic Information SystemITIS"
"181","Euphorbia glyptosperma","Euphorbia glyptosperma",0.988,"Integrated Taxonomic Information SystemITIS"
"182","Euphorbia lagascae","Euphorbia lagascae",0.988,"Integrated Taxonomic Information SystemITIS"
"183","Euphorbia leptocaula","Euphorbia leptocaula",0.988,"Integrated Taxonomic Information SystemITIS"
"184","Euphorbia maculata","Euphorbia maculata",0.988,"Integrated Taxonomic Information SystemITIS"
"185","Euphorbia massiliensis","Euphorbia massiliensis",0.988,"Integrated Taxonomic Information SystemITIS"
"186","Euphorbia rigida","Euphorbia rigida",0.988,"Integrated Taxonomic Information SystemITIS"
"187","Euphorbia sareptana","Euphorbia sareptana",0.988,"Integrated Taxonomic Information SystemITIS"
"188","Exochorda racemosa","Exochorda racemosa",0.988,"Integrated Taxonomic Information SystemITIS"
"189","Farfantepenaeus aztecus","Farfantepenaeus aztecus",0.988,"Integrated Taxonomic Information SystemITIS"
"190","Fatoua villosa","Fatoua villosa",0.988,"Integrated Taxonomic Information SystemITIS"
"191","Faxonius limosus","Faxonius limosus",0.988,"Integrated Taxonomic Information SystemITIS"
"192","Faxonius rusticus","Faxonius rusticus",0.988,"Integrated Taxonomic Information SystemITIS"
"193","Faxonius virilis","Faxonius virilis",0.988,"Integrated Taxonomic Information SystemITIS"
"194","Ferrissia fragilis","Ferrissia fragilis",0.988,"Integrated Taxonomic Information SystemITIS"
"195","Ficus carica","Ficus carica",0.988,"Integrated Taxonomic Information SystemITIS"
"196","Filaginella uliginosa","Filaginella uliginosa",0.988,"Integrated Taxonomic Information SystemITIS"
"197","Filago arvensis","Filago arvensis",0.988,"Integrated Taxonomic Information SystemITIS"
"198","Filago minima","Filago minima",0.988,"Integrated Taxonomic Information SystemITIS"
"199","Filipendula rubra","Filipendula rubra",0.988,"Integrated Taxonomic Information SystemITIS"
"200","Filipendula ulmaria","Filipendula ulmaria",0.988,"Integrated Taxonomic Information SystemITIS"
"201","Filipendula vulgaris","Filipendula vulgaris",0.988,"Integrated Taxonomic Information SystemITIS"
"202","Fimbristylis cymosa","Fimbristylis cymosa",0.988,"Integrated Taxonomic Information SystemITIS"
"203","Fimbristylis littoralis","Fimbristylis littoralis",0.988,"Integrated Taxonomic Information SystemITIS"
"204","Gahnia aspera subsp. globosa","Gahnia aspera ssp. globosa",0.999,"Integrated Taxonomic Information SystemITIS"
"205","Galega officinalis","Galega officinalis",0.988,"Integrated Taxonomic Information SystemITIS"
"206","Galeopsis speciosa","Galeopsis speciosa",0.988,"Integrated Taxonomic Information SystemITIS"
"207","Galinsoga urticifolia","Galinsoga urticifolia",0.988,"Integrated Taxonomic Information SystemITIS"
"208","Galium album","Galium album",0.988,"Integrated Taxonomic Information SystemITIS"
"209","Galium saxatile","Galium saxatile",0.988,"Integrated Taxonomic Information SystemITIS"
"210","Galium uliginosum","Galium uliginosum",0.988,"Integrated Taxonomic Information SystemITIS"
"211","Gambusia holbrooki","Gambusia holbrooki",0.988,"Integrated Taxonomic Information SystemITIS"
"212","Gammarus tigrinus","Gammarus tigrinus",0.988,"Integrated Taxonomic Information SystemITIS"
"213","Gamochaeta pensylvanica","Gamochaeta pensylvanica",0.988,"Integrated Taxonomic Information SystemITIS"
"214","Gamochaeta purpurea","Gamochaeta purpurea",0.988,"Integrated Taxonomic Information SystemITIS"
"215","Gardenia jasminoides","Gardenia jasminoides",0.988,"Integrated Taxonomic Information SystemITIS"
"216","Gastridium ventricosum","Gastridium ventricosum",0.988,"Integrated Taxonomic Information SystemITIS"
"217","Gaura lindheimeri","Gaura lindheimeri",0.988,"Integrated Taxonomic Information SystemITIS"
"218","Geranium lucidum","Geranium lucidum",0.988,"Integrated Taxonomic Information SystemITIS"
"219","Geranium nepalense","Geranium nepalense",0.988,"Integrated Taxonomic Information SystemITIS"
"220","Geranium pratense","Geranium pratense",0.988,"Integrated Taxonomic Information SystemITIS"
"221","Geranium robertianum","Geranium robertianum",0.988,"Integrated Taxonomic Information SystemITIS"
"222","Geranium sylvaticum","Geranium sylvaticum",0.988,"Integrated Taxonomic Information SystemITIS"
"223","Geranium thunbergii","Geranium thunbergii",0.988,"Integrated Taxonomic Information SystemITIS"
"224","Geranium versicolor","Geranium versicolor",0.988,"Integrated Taxonomic Information SystemITIS"
"225","Geum aleppicum","Geum aleppicum",0.988,"Integrated Taxonomic Information SystemITIS"
"226","Glandularia peruviana","Glandularia peruviana",0.988,"Integrated Taxonomic Information SystemITIS"
"227","Glechoma hederacea","Glechoma hederacea",0.988,"Integrated Taxonomic Information SystemITIS"
"228","Glossostigma cleistanthum","Glossostigma cleistanthum",0.988,"Integrated Taxonomic Information SystemITIS"
"229","Glyceria canadensis","Glyceria canadensis",0.988,"Integrated Taxonomic Information SystemITIS"
"230","Glyceria declinata","Glyceria declinata",0.988,"Integrated Taxonomic Information SystemITIS"
"231","Glyceria maxima","Glyceria maxima",0.988,"Integrated Taxonomic Information SystemITIS"
"232","Glycosmis parviflora","Glycosmis parviflora",0.988,"Integrated Taxonomic Information SystemITIS"
"233","Glyptoperichthys gibbiceps","Glyptoperichthys gibbiceps",0.988,"Integrated Taxonomic Information SystemITIS"
"234","Gnaphalium calviceps","Gnaphalium calviceps",0.988,"Integrated Taxonomic Information SystemITIS"
"235","Gnaphalium purpureum","Gnaphalium purpureum",0.988,"Integrated Taxonomic Information SystemITIS"
"236","Gnaphalium supinum","Gnaphalium supinum",0.988,"Integrated Taxonomic Information SystemITIS"
"237","Gomphrena globosa","Gomphrena globosa",0.988,"Integrated Taxonomic Information SystemITIS"
"238","Goodyera repens","Goodyera repens",0.988,"Integrated Taxonomic Information SystemITIS"
"239","Gratiola officinalis","Gratiola officinalis",0.988,"Integrated Taxonomic Information SystemITIS"
"240","Gymnocephalus cernuus","Gymnocephalus cernuus",0.988,"Integrated Taxonomic Information SystemITIS"
"241","Gypsophila muralis","Gypsophila muralis",0.988,"Integrated Taxonomic Information SystemITIS"
"242","Gypsophila paniculata","Gypsophila paniculata",0.988,"Integrated Taxonomic Information SystemITIS"
"243","Hedera colchica","Hedera colchica",0.988,"Integrated Taxonomic Information SystemITIS"
"244","Hedera helix","Hedera helix",0.988,"Integrated Taxonomic Information SystemITIS"
"245","Hedychium coronarium","Hedychium coronarium",0.988,"Integrated Taxonomic Information SystemITIS"
"246","Hedypnois cretica","Hedypnois cretica",0.988,"Integrated Taxonomic Information SystemITIS"
"247","Helianthus annuus","Helianthus annuus",0.988,"Integrated Taxonomic Information SystemITIS"
"248","Helianthus laetiflorus","Helianthus laetiflorus",0.988,"Integrated Taxonomic Information SystemITIS"
"249","Helicotylenchus multicinctus","Helicotylenchus multicinctus",0.988,"Integrated Taxonomic Information SystemITIS"
"250","Heliotropium curassavicum","Heliotropium curassavicum",0.988,"Integrated Taxonomic Information SystemITIS"
"251","Heliotropium indicum","Heliotropium indicum",0.988,"Integrated Taxonomic Information SystemITIS"
"252","Hemibarbus maculatus","Hemibarbus maculatus",0.988,"Integrated Taxonomic Information SystemITIS"
"253","Hemichromis fasciatus","Hemichromis fasciatus",0.988,"Integrated Taxonomic Information SystemITIS"
"254","Hemiculter leucisculus","Hemiculter leucisculus",0.988,"Integrated Taxonomic Information SystemITIS"
"255","Hemimysis anomala","Hemimysis anomala",0.988,"Integrated Taxonomic Information SystemITIS"
"256","Heteranthera rotundifolia","Heteranthera rotundifolia",0.988,"Integrated Taxonomic Information SystemITIS"
"257","Heteropogon contortus","Heteropogon contortus",0.988,"Integrated Taxonomic Information SystemITIS"
"258","Heuchera americana","Heuchera americana",0.988,"Integrated Taxonomic Information SystemITIS"
"259","Hibiscus trionum","Hibiscus trionum",0.988,"Integrated Taxonomic Information SystemITIS"
"260","Hieracium floribundum","Hieracium floribundum",0.988,"Integrated Taxonomic Information SystemITIS"
"261","Hieracium piloselloides","Hieracium piloselloides",0.988,"Integrated Taxonomic Information SystemITIS"
"262","Holcus mollis","Holcus mollis",0.988,"Integrated Taxonomic Information SystemITIS"
"263","Holosteum umbellatum","Holosteum umbellatum",0.988,"Integrated Taxonomic Information SystemITIS"
"264","Hosta lancifolia","Hosta lancifolia",0.988,"Integrated Taxonomic Information SystemITIS"
"265","Hovenia dulcis","Hovenia dulcis",0.988,"Integrated Taxonomic Information SystemITIS"
"266","Howea belmoreana","Howea belmoreana",0.988,"Integrated Taxonomic Information SystemITIS"
"267","Hydrocleys nymphoides","Hydrocleys nymphoides",0.988,"Integrated Taxonomic Information SystemITIS"
"268","Hygrophila polysperma","Hygrophila polysperma",0.988,"Integrated Taxonomic Information SystemITIS"
"269","Hylocereus undatus","Hylocereus undatus",0.988,"Integrated Taxonomic Information SystemITIS"
"270","Hyparrhenia hirta","Hyparrhenia hirta",0.988,"Integrated Taxonomic Information SystemITIS"
"271","Hypericum androsaemum","Hypericum androsaemum",0.988,"Integrated Taxonomic Information SystemITIS"
"272","Hypericum gymnanthum","Hypericum gymnanthum",0.988,"Integrated Taxonomic Information SystemITIS"
"273","Iberis umbellata","Iberis umbellata",0.988,"Integrated Taxonomic Information SystemITIS"
"274","Ictalurus punctatus","Ictalurus punctatus",0.988,"Integrated Taxonomic Information SystemITIS"
"275","Illecebrum verticillatum","Illecebrum verticillatum",0.988,"Integrated Taxonomic Information SystemITIS"
"276","Impatiens balfourii","Impatiens balfourii",0.988,"Integrated Taxonomic Information SystemITIS"
"277","Indigofera hirsuta","Indigofera hirsuta",0.988,"Integrated Taxonomic Information SystemITIS"
"278","Ionopsidium acaule","Ionopsidium acaule",0.988,"Integrated Taxonomic Information SystemITIS"
"279","Ipheion uniflorum","Ipheion uniflorum",0.988,"Integrated Taxonomic Information SystemITIS"
"280","Ipomoea aquatica","Ipomoea aquatica",0.988,"Integrated Taxonomic Information SystemITIS"
"281","Ipomoea carnea subsp. fistulosa","Ipomoea carnea ssp. fistulosa",0.999,"Integrated Taxonomic Information SystemITIS"
"282","Ipomoea purpurea","Ipomoea purpurea",0.988,"Integrated Taxonomic Information SystemITIS"
"283","Iris foetidissima","Iris foetidissima",0.988,"Integrated Taxonomic Information SystemITIS"
"284","Iris sibirica","Iris sibirica",0.988,"Integrated Taxonomic Information SystemITIS"
"285","Iris spuria","Iris spuria",0.988,"Integrated Taxonomic Information SystemITIS"
"286","Iris versicolor","Iris versicolor",0.988,"Integrated Taxonomic Information SystemITIS"
