,species,avg_score,clim_match,batch
558,Eriocheir_sinensis,0.215043857,Low,1981_2010
100,Eriocheir_sinensis,0.184859122,Low,2011_2040
490,Esox_lucius,1.772532089,Medium,1981_2010
491,Esox_masquinongy,0.993167331,Low,1981_2010
101,Euphorbia_glyptosperma,1.210863383,Medium,2011_2040
102,Euphorbia_lagascae,0.000350192,Low,2011_2040
103,Euphorbia_leptocaula,0.004555784,Low,2011_2040
104,Euphorbia_rigida,0.002012555,Low,2011_2040
105,Euphorbia_sareptana,0.012442486,Low,2011_2040
106,Exochorda_racemosa,0.045026087,Low,2011_2040
107,Fatoua_villosa,0.042623088,Low,2011_2040
559,Faxonius_limosus,2.532241942,High,1981_2010
108,Faxonius_limosus,0.11624486,Low,2011_2040
560,Faxonius_rusticus,1.493289631,Medium,1981_2010
109,Faxonius_rusticus,1.188610795,Medium,2011_2040
561,Faxonius_virilis,1.559549198,Medium,1981_2010
110,Faxonius_virilis,1.058531569,Medium,2011_2040
111,Ficus_carica,0.050311358,Low,2011_2040
112,Filago_arvensis,0.906446573,Low,2011_2040
562,Filipendula_rubra,2.717282259,High,1981_2010
113,Filipendula_rubra,0.256908746,Low,2011_2040
114,Filipendula_ulmaria,2.105487484,High,2011_2040
563,Filipendula_vulgaris,0.936291973,Low,1981_2010
115,Filipendula_vulgaris,1.295234847,Medium,2011_2040
116,Galega_officinalis,0.160911905,Low,2011_2040
117,Galeopsis_speciosa,1.068407011,Medium,2011_2040
118,Galium_album,0.643268539,Low,2011_2040
119,Galium_saxatile,0.140440701,Low,2011_2040
564,Galium_uliginosum,2.114411128,High,1981_2010
120,Galium_uliginosum,2.342428162,High,2011_2040
492,Gambusia_affinis,0.469653899,Low,1981_2010
121,Gambusia_holbrooki,0.007937344,Low,2011_2040
565,Gammarus_tigrinus,2.11939895,High,1981_2010
122,Gammarus_tigrinus,0.167703337,Low,2011_2040
123,Gamochaeta_pensylvanica,0.098471689,Low,2011_2040
124,Gamochaeta_purpurea,0.042552422,Low,2011_2040
125,Gardenia_jasminoides,0.000133214,Low,2011_2040
126,Gastridium_ventricosum,0.002010051,Low,2011_2040
127,Geranium_lucidum,0.088093763,Low,2011_2040
128,Geranium_nepalense,0.121899197,Low,2011_2040
129,Geranium_pratense,2.13262569,High,2011_2040
566,Geranium_sylvaticum,2.624707756,High,1981_2010
130,Geranium_sylvaticum,2.080107463,High,2011_2040
131,Geranium_thunbergii,0.026978058,Low,2011_2040
132,Geranium_versicolor,0.001460073,Low,2011_2040
567,Geum_aleppicum,3.133634217,High,1981_2010
133,Geum_aleppicum,2.736855586,High,2011_2040
568,Glossostigma_cleistanthum,0.954345363,Low,1981_2010
134,Glossostigma_cleistanthum,0.013119895,Low,2011_2040
569,Glyceria_declinata,2.384916405,High,1981_2010
135,Glyceria_declinata,0.103262368,Low,2011_2040
570,Glyceria_maxima,2.103398836,High,1981_2010
136,Glyceria_maxima,0.803268625,Low,2011_2040
137,Gomphrena_globosa,0.010397225,Low,2011_2040
571,Goodyera_repens,1.626040169,Medium,1981_2010
138,Goodyera_repens,2.920690361,High,2011_2040
572,Gratiola_officinalis,0.867796738,Low,1981_2010
139,Gratiola_officinalis,0.053265951,Low,2011_2040
493,Gymnocephalus_cernua,1.379092612,Medium,1981_2010
140,Gypsophila_paniculata,0.950224784,Low,2011_2040
141,Hedera_colchica,0.025120872,Low,2011_2040
142,Hedychium_coronarium,0.081065265,Low,2011_2040
143,Hedypnois_cretica,0.002860087,Low,2011_2040
144,Helianthus_annuus,1.314452991,Medium,2011_2040
145,Helianthus_laetiflorus,0.164220652,Low,2011_2040
146,Heliotropium_curassavicum,0.573724419,Low,2011_2040
147,Heliotropium_indicum,0.001160186,Low,2011_2040
148,Hemibarbus_maculatus,0.040463256,Low,2011_2040
149,Hemiculter_leucisculus,0.030220469,Low,2011_2040
573,Hemimysis_anomala,1.315473406,Medium,1981_2010
150,Hemimysis_anomala,0.158615376,Low,2011_2040
151,Heteranthera_rotundifolia,0.001511406,Low,2011_2040
152,Heteropogon_contortus,0.000175131,Low,2011_2040
153,Heuchera_americana,0.05222085,Low,2011_2040
154,Hibiscus_trionum,0.423505448,Low,2011_2040
155,Hieracium_floribundum,0.005806141,Low,2011_2040
156,Hieracium_piloselloides,0.410770781,Low,2011_2040
157,Holcus_mollis,0.281638345,Low,2011_2040
158,Holosteum_umbellatum,0.346841692,Low,2011_2040
159,Hosta_lancifolia,0.048509468,Low,2011_2040
160,Hovenia_dulcis,0.082649746,Low,2011_2040
161,Howea_belmoreana,0.007746843,Low,2011_2040
494,Hydrilla_verticillata,1.453479406,Medium,1981_2010
495,Hydrocharis_morsus-ranae,2.26413104,High,1981_2010
162,Hyparrhenia_hirta,0.014992759,Low,2011_2040
163,Hypericum_androsaemum,0.052259018,Low,2011_2040
164,Hypericum_gymnanthum,0.001314097,Low,2011_2040
165,Iberis_umbellata,0.091250176,Low,2011_2040
574,Ictalurus_punctatus,0.818975643,Low,1981_2010
166,Ictalurus_punctatus,0.795354153,Low,2011_2040
575,Illecebrum_verticillatum,1.778271499,Medium,1981_2010
167,Illecebrum_verticillatum,0.010331472,Low,2011_2040
168,Impatiens_balfourii,0.103753644,Low,2011_2040
169,Ipheion_uniflorum,3.41E-05,Low,2011_2040
170,Ipomoea_aquatica,0.000895413,Low,2011_2040
576,Ipomoea_purpurea,0.762848365,Low,1981_2010
171,Ipomoea_purpurea,0.224905516,Low,2011_2040
172,Iris_foetidissima,0.000853714,Low,2011_2040
173,Iris_sibirica,0.450072426,Low,2011_2040
174,Iris_spuria,0.001482804,Low,2011_2040
577,Juncus_compressus,2.351376559,High,1981_2010
175,Juncus_compressus,1.948717322,Medium,2011_2040
578,Juncus_ensifolius,1.178075829,Medium,1981_2010
176,Juncus_ensifolius,0.901168866,Low,2011_2040
177,Lablab_purpureus,0.049818074,Low,2011_2040
496,Lagarosiphon_major,0.119872462,Low,1981_2010
178,Lamium_confertum,0.090233328,Low,2011_2040
179,Lamium_galeobdolon,0.431151461,Low,2011_2040
180,Lawsonia_inermis,0.002540209,Low,2011_2040
181,Lemna_aequinoctialis,0.006315831,Low,2011_2040
579,Lemna_minuta,1.039971681,Medium,1981_2010
182,Lemna_minuta,0.223982705,Low,2011_2040
183,Lepidium_appelianum,0.397530562,Low,2011_2040
184,Lepidium_graminifolium,0.029995761,Low,2011_2040
185,Lepidium_heterophyllum,0.040950878,Low,2011_2040
497,Lepisosteus_oculatus,0.930108859,Low,1981_2010
498,Lepisosteus_osseus,1.404919455,Medium,1981_2010
499,Lepomis_cyanellus,1.090012469,Medium,1981_2010
500,Lepomis_gibbosus,3.635951415,High,1981_2010
580,Lepomis_gulosus,0.864192808,Low,1981_2010
186,Lepomis_gulosus,0.34450883,Low,2011_2040
501,Lepomis_macrochirus,1.256843093,Medium,1981_2010
502,Lepomis_megalotis,0.844395091,Low,1981_2010
503,Lepomis_microlophus,0.829967014,Low,1981_2010
504,Lepomis_peltastes,0.602518176,Low,1981_2010
187,Leucanthemella_serotina,0.191182357,Low,2011_2040
581,Leucaspius_delineatus,0.944101146,Low,1981_2010
188,Leucaspius_delineatus,0.096407731,Low,2011_2040
505,Leuciscus_aspius,0.907108212,Low,1981_2010
506,Leuciscus_idus,0.750097712,Low,1981_2010
